YYYYMMDD	UTC	Lat	Lon	Mag	numsta	kms2WIPP	azi (deg)
20200903	05:43:44.9	31.655	-104.475	1.25	6	102.2	219.2
20200903	05:48:19.0	31.616	-104.419	2.1	4	102.5	215.3
20200903	06:06:23.1	31.697	-104.346	2.08	5	91.2	215
20200903	07:06:13.3	31.754	-104.499	2.35	14	95.5	224.4
20200903	07:20:02.9	31.606	-103.953	2.02	7	86.2	190.1
20200903	07:25:24.1	31.656	-104.012	1.6	5	81.9	194.7
20200903	07:41:07.2	31.748	-104.072	2.27	16	73.9	200.9
20200903	08:29:23.8	31.74	-104.088	2.16	7	75.4	201.8
20200903	08:31:36.6	32.008	-103.742	2.24	5	40.6	172.9
20200903	08:35:33.5	31.637	-103.898	2.07	4	82.1	187
20200903	08:42:35.1	31.281	-103.294	2.42	7	129.9	158.5
20200903	10:07:26.4	31.936	-103.118	1.76	4	80.1	126.9
20200903	10:23:25.6	31.7	-104.373	2.46	17	92.4	216.5
20200903	12:19:45.5	31.718	-104.306	1.95	5	87.1	213.8
20200903	13:01:23.9	31.59	-104.097	2.05	4	91.3	198.4
20200903	13:30:59.9	31.58	-104.07	1.78	5	91.5	196.6
20200903	14:36:58.9	31.724	-104.332	2.35	6	88	215.4
20200903	15:35:29.3	31.706	-104.309	2.17	12	88.4	213.5
20200903*	16:05:19.7	31.705	-104.347	2.34	18	90.5	215.4
20200903	17:27:43.1	31.664	-104.519	1.8	8	104.1	221.3
20200903	19:13:33.2	31.734	-104.11	2.21	15	76.7	203
20200903	19:50:09.2	31.659	-104.524	2.25	5	104.9	221.3
20200903	20:55:55.9	31.645	-104.308	1.99	5	94.1	211.2
20200903	21:13:41.7	31.688	-104.358	2.18	10	92.6	215.3
20200903	22:31:56.4	31.762	-104.476	2.23	9	93.3	223.8
20200903	23:10:24.4	31.983	-103.82	1.84	10	43.3	184.5
